recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
Moderately,Moderately,A lot,d3faeb66ff61,visual,drugOverdose,two,A little,Moderately,Moderately,A lot,Extremely serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,High School,25,,,,1679527477741.0,1679528462198.0,16.407616666666666,second ,8,June,27,The turf used during the super bowl 2023 was slippery and both teams were not playing how they normally would.,0
Moderately,Moderately,Moderately,d3faeb66ff61,visual,population,two,A little,Moderately,Moderately,A lot,Extremely serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,High School,25,,,,1679527477741.0,1679528462198.0,16.407616666666666,second ,8,June,27,The turf used during the super bowl 2023 was slippery and both teams were not playing how they normally would.,0
Moderately,A little,A lot,d3faeb66ff61,visual,opioids,two,A little,Moderately,Moderately,A lot,Extremely serious problem,Moderate Priority,Strongly Favor,Extremely serious problem,Moderate Priority,Strongly Favor,Woman,Hispanic/Latino,High School,25,,,,1679527477741.0,1679528462198.0,16.407616666666666,second ,8,June,27,The turf used during the super bowl 2023 was slippery and both teams were not playing how they normally would.,0
Not at All,Not at All,A little,aa35f06f8f99,txt,drugOverdose,two,Moderately,Moderately,A little,Moderately,Moderate problem,High Priority,Strongly Favor,Moderate problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,39,,,,1679527479822.0,1679528147780.0,11.132633333333333,second,8,Emily,0,The quality of the turf of the field during the Super Bowl was undesirable for some players. ,0
Not at All,Not at All,A little,aa35f06f8f99,txt,population,two,Moderately,Moderately,A little,Moderately,Moderate problem,High Priority,Strongly Favor,Moderate problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,39,,,,1679527479822.0,1679528147780.0,11.132633333333333,second,8,Emily,0,The quality of the turf of the field during the Super Bowl was undesirable for some players. ,0
Not at All,Not at All,A little,aa35f06f8f99,txt,opioids,two,Moderately,Moderately,A little,Moderately,Moderate problem,High Priority,Strongly Favor,Moderate problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,39,,,,1679527479822.0,1679528147780.0,11.132633333333333,second,8,Emily,0,The quality of the turf of the field during the Super Bowl was undesirable for some players. ,0
Moderately,A lot,A lot,387f0180d498,control,drugOverdose,two,A little,Not at All,Moderately,Moderately,Moderate problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,High School,66,,,,1679527480169.0,1679528819721.0,22.325866666666663,first,8,June,27,The turf on the field of the 2023 Superbowl was in poor condition.,0
Moderately,A lot,A lot,387f0180d498,control,population,two,A little,Not at All,Moderately,Moderately,Moderate problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,High School,66,,,,1679527480169.0,1679528819721.0,22.325866666666663,first,8,June,27,The turf on the field of the 2023 Superbowl was in poor condition.,0
A lot,Extremely,Extremely,387f0180d498,control,opioids,two,A little,Not at All,Moderately,Moderately,Moderate problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,High School,66,,,,1679527480169.0,1679528819721.0,22.325866666666663,first,8,June,27,The turf on the field of the 2023 Superbowl was in poor condition.,0
A little,Moderately,A little,f9b35e1286c6,control,drugOverdose,two,A little,Moderately,Moderately,Moderately,Serious problem,Neutral,Strongly Favor,Moderate problem,Neutral,Strongly Favor,Prefer not to say,Prefer not to say,High School,20,,,,1679527480320.0,1679528227363.0,12.450716666666668,second,7,Emily,27,"There were intemperate field conditions that affected both teams, many issues were had.",0
A little,A little,A little,f9b35e1286c6,control,population,two,A little,Moderately,Moderately,Moderately,Serious problem,Neutral,Strongly Favor,Moderate problem,Neutral,Strongly Favor,Prefer not to say,Prefer not to say,High School,20,,,,1679527480320.0,1679528227363.0,12.450716666666668,second,7,Emily,27,"There were intemperate field conditions that affected both teams, many issues were had.",0
A little,A little,Moderately,f9b35e1286c6,control,opioids,two,A little,Moderately,Moderately,Moderately,Serious problem,Neutral,Strongly Favor,Moderate problem,Neutral,Strongly Favor,Prefer not to say,Prefer not to say,High School,20,,,,1679527480320.0,1679528227363.0,12.450716666666668,second,7,Emily,27,"There were intemperate field conditions that affected both teams, many issues were had.",0
Not at All,Moderately,A little,8fc892d4cef6,visual,opioids,two,A little,Not at All,Not at All,Not at All,Moderate problem,Neutral,Somewhat Favor,Moderate problem,Neutral,Somewhat Favor,Man,White/Caucasian/European,Undergraduate,35,,,,1679527484377.0,1679528370569.0,14.769866666666667,second,8,Emily,3,"The Eagles experience fairly poor conditions on the field, but they didn't want to blame that for their loss. ",0
Moderately,Extremely,Extremely,32a7829db16d,control,drugOverdose,two,Moderately,A lot,A lot,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,Native American,Undergraduate,47,,,,1679527484869.0,1679528770710.0,21.43068333333333,second ,8,Emily,27,"The turf on the field for the 2023 Super Bowl was problematic for players, impacting their level of play.",0
Moderately,Extremely,Extremely,32a7829db16d,control,population,two,Moderately,A lot,A lot,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,Native American,Undergraduate,47,,,,1679527484869.0,1679528770710.0,21.43068333333333,second ,8,Emily,27,"The turf on the field for the 2023 Super Bowl was problematic for players, impacting their level of play.",0
Moderately,Extremely,Extremely,32a7829db16d,control,opioids,two,Moderately,A lot,A lot,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,Native American,Undergraduate,47,,,,1679527484869.0,1679528770710.0,21.43068333333333,second ,8,Emily,27,"The turf on the field for the 2023 Super Bowl was problematic for players, impacting their level of play.",0
Moderately,A little,A lot,ac2d82e3baaf,txt,population,two,Extremely,A lot,A little,A lot,Extremely serious problem,Moderate Priority,Strongly Oppose,Extremely serious problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,21,,,,1679527485284.0,1679528252200.0,12.781933333333331,seconf,8,Emily,0,Both teams at the superbowl were hurt by the fact that the playing surface was of extremely poor quality.,0
A lot,Moderately,Extremely,ac2d82e3baaf,txt,opioids,two,Extremely,A lot,A little,A lot,Extremely serious problem,Moderate Priority,Strongly Oppose,Extremely serious problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,21,,,,1679527485284.0,1679528252200.0,12.781933333333331,seconf,8,Emily,0,Both teams at the superbowl were hurt by the fact that the playing surface was of extremely poor quality.,0
A lot,A lot,A lot,9e8144a67c58,visual,drugOverdose,two,A little,Not at All,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,57,,,,1679527490164.0,1679528887108.0,23.2824,First,8,Emily,3,"Chiefs and Eagles found 2023 field conditions subpar, but the conditions didn't decide the game.",0
A lot,A lot,A lot,9e8144a67c58,visual,population,two,A little,Not at All,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,57,,,,1679527490164.0,1679528887108.0,23.2824,First,8,Emily,3,"Chiefs and Eagles found 2023 field conditions subpar, but the conditions didn't decide the game.",0
A lot,A lot,A lot,9e8144a67c58,visual,opioids,two,A little,Not at All,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,57,,,,1679527490164.0,1679528887108.0,23.2824,First,8,Emily,3,"Chiefs and Eagles found 2023 field conditions subpar, but the conditions didn't decide the game.",0
Moderately,Moderately,Moderately,6239aa7e3a05,visual,drugOverdose,two,A lot,Moderately,A little,A little,Serious problem,Low Priority,Strongly Oppose,serious problem,Neutral,Strongly Oppose,Woman,White/Caucasian/European,High School,28,,,,1679527491646.0,1679528818889.0,22.120716666666667,second,8,Emily,27,When the Eagles lost their football game they made a point to point out that the playing conditions were not good and that they think they should be improved for a better game.,0
Moderately,A lot,A lot,6239aa7e3a05,visual,population,two,A lot,Moderately,A little,A little,Serious problem,Low Priority,Strongly Oppose,serious problem,Neutral,Strongly Oppose,Woman,White/Caucasian/European,High School,28,,,,1679527491646.0,1679528818889.0,22.120716666666667,second,8,Emily,27,When the Eagles lost their football game they made a point to point out that the playing conditions were not good and that they think they should be improved for a better game.,0
A lot,Extremely,Extremely,6239aa7e3a05,visual,opioids,two,A lot,Moderately,A little,A little,Serious problem,Low Priority,Strongly Oppose,serious problem,Neutral,Strongly Oppose,Woman,White/Caucasian/European,High School,28,,,,1679527491646.0,1679528818889.0,22.120716666666667,second,8,Emily,27,When the Eagles lost their football game they made a point to point out that the playing conditions were not good and that they think they should be improved for a better game.,0
A lot,Extremely,Extremely,878a3f885504,visual,drugOverdose,two,Extremely,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,68,,,,1679527492331.0,1679528811409.0,21.98463333333333,First,8,June,16,Field conditions did not determine the final game score,0
A lot,Extremely,Extremely,878a3f885504,visual,population,two,Extremely,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,68,,,,1679527492331.0,1679528811409.0,21.98463333333333,First,8,June,16,Field conditions did not determine the final game score,0
Extremely,Extremely,Extremely,878a3f885504,visual,opioids,two,Extremely,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,African American/Black,Undergraduate,68,,,,1679527492331.0,1679528811409.0,21.98463333333333,First,8,June,16,Field conditions did not determine the final game score,0
A lot,A little,Extremely,729c6f8b128d,control,drugOverdose,two,A lot,A lot,Extremely,Extremely,Serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,27,,,,1679527492960.0,1679528207088.0,11.902133333333332,1st,7,june9,27,Field conditions affect both teams in the superboowl,0
Moderately,A little,A lot,729c6f8b128d,control,population,two,A lot,A lot,Extremely,Extremely,Serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,27,,,,1679527492960.0,1679528207088.0,11.902133333333332,1st,7,june9,27,Field conditions affect both teams in the superboowl,0
A lot,A little,Extremely,729c6f8b128d,control,opioids,two,A lot,A lot,Extremely,Extremely,Serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,High School,27,,,,1679527492960.0,1679528207088.0,11.902133333333332,1st,7,june9,27,Field conditions affect both teams in the superboowl,0
Moderately,Not at All,Moderately,0e0512f56c1d,control,drugOverdose,two,Not at All,Not at All,Not at All,A little,Moderate problem,High Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,High School,27,,,,1679527494983.0,1679528419960.0,15.416283333333332,2nd,7,June,27,The Super Bowl this year had a horrible field experience according to players.,0
Moderately,A little,Moderately,0e0512f56c1d,control,population,two,Not at All,Not at All,Not at All,A little,Moderate problem,High Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,High School,27,,,,1679527494983.0,1679528419960.0,15.416283333333332,2nd,7,June,27,The Super Bowl this year had a horrible field experience according to players.,0
Moderately,A little,Moderately,0e0512f56c1d,control,opioids,two,Not at All,Not at All,Not at All,A little,Moderate problem,High Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,High School,27,,,,1679527494983.0,1679528419960.0,15.416283333333332,2nd,7,June,27,The Super Bowl this year had a horrible field experience according to players.,0
A little,Moderately,A little,8d9bcb27b066,control,drugOverdose,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Low Priority,Somewhat Oppose,serious problem,Low Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,56,,,,1679527498238.0,1679528057405.0,9.31945,second,8,Emily,0,The turf for the super bowl was slick and affected both teams.,0
Not at All,Not at All,Not at All,8d9bcb27b066,control,population,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Low Priority,Somewhat Oppose,serious problem,Low Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,56,,,,1679527498238.0,1679528057405.0,9.31945,second,8,Emily,0,The turf for the super bowl was slick and affected both teams.,0
